Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-04-16 17:00,2.4799,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 17:00,31.388,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 17:00,10.8178,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 17:00,9.4237,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 16:00,2.1635,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 16:00,31.2937,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 16:00,11.1175,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 16:00,9.3474,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 15:00,1.9397,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 15:00,30.7625,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 15:00,11.3051,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 15:00,9.5211,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 14:00,1.7714,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 14:00,29.5734,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 14:00,11.3547,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 14:00,9.923,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 13:00,1.7493,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 13:00,29.8442,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 13:00,11.3385,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 13:00,9.7585,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 12:00,1.8553,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 12:00,28.4584,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 12:00,11.3319,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 12:00,9.9399,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 11:00,2.0656,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 11:00,29.886,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 11:00,11.218,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 11:00,9.5432,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 10:00,2.3414,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 10:00,30.3386,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 10:00,10.9817,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 10:00,8.9782,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 09:00,2.6587,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 09:00,31.363,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 09:00,10.8306,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 09:00,8.7926,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 08:00,2.9283,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 08:00,31.6446,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 08:00,10.5188,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 08:00,8.7737,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 07:00,3.1252,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 07:00,32.0074,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 07:00,10.4529,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-16 07:00,8.6451,0
"Depth","FS-Bottom","Depth-sensor",2024-04-16 06:00,3.2081,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-16 06:00,31.9413,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-16 06:00,10.5802,0
