Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-04-14 21:00,2.9546,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 21:00,3.5065,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 21:00,11.3629,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 21:00,10.9654,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 21:00,1.9933,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 21:00,7.8975,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 20:00,3.0244,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 20:00,3.4921,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 20:00,11.5683,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 20:00,10.9428,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 20:00,1.2712,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 20:00,7.9457,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 19:00,3.1214,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 19:00,5.1297,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 19:00,11.7098,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 19:00,10.8445,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 19:00,1.3403,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 19:00,7.9839,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 18:00,3.1079,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 18:00,7.2406,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 18:00,11.8221,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 18:00,10.6757,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 18:00,1.617,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 18:00,8.0169,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 17:00,3.009,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 17:00,8.8267,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 17:00,11.8305,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 17:00,10.395,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 17:00,2.15,0
