Series Name,Location,Parameter,Timestamp,Value,Offset
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 21:00,7.8215,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 21:00,12.0104,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 21:00,10.7019,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 21:00,29.8741,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 21:00,10.9349,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 21:00,9.8516,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 20:00,7.1061,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 20:00,12.0264,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 20:00,10.7692,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 20:00,28.2918,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 20:00,10.999,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 20:00,10.0833,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 19:00,6.9091,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 19:00,11.8974,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 19:00,10.7936,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 19:00,27.7167,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 19:00,11.1405,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 19:00,10.4328,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 18:00,7.1257,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 18:00,12.0967,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 18:00,10.7442,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 18:00,27.6345,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 18:00,11.0603,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 18:00,10.3334,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 17:00,7.3315,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 17:00,12.3577,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 17:00,10.6761,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 17:00,29.0745,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 17:00,10.9777,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 17:00,10.3213,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 16:00,7.6117,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 16:00,12.5706,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 16:00,10.6272,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 16:00,30.4132,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 16:00,10.8362,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 16:00,9.8996,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 15:00,9.5939,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 15:00,12.9649,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 15:00,10.4219,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 15:00,31.0496,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 15:00,10.7664,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 15:00,9.8289,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 14:00,11.7938,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 14:00,12.6744,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 14:00,10.2806,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 14:00,31.0083,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 14:00,10.7656,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 14:00,9.8535,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 13:00,19.001,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 13:00,11.8642,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 13:00,9.9895,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 13:00,31.0131,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 13:00,10.666,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 13:00,9.8031,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 12:00,19.6942,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 12:00,11.2491,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 12:00,9.9207,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 12:00,30.6682,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 12:00,10.5685,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 12:00,9.7965,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 11:00,12.0203,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 11:00,11.3923,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 11:00,10.1095,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 11:00,30.1452,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 11:00,10.4548,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 11:00,9.6383,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 10:00,9.3366,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 10:00,11.0954,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 10:00,10.2003,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 10:00,25.2293,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 10:00,10.6384,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 10:00,9.5788,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 09:00,6.5062,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 09:00,10.8104,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 09:00,10.2883,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 09:00,21.3832,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 09:00,11.0308,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 09:00,9.5596,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 08:00,7.2717,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 08:00,10.774,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 08:00,10.2477,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 08:00,13.1874,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 08:00,10.988,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 08:00,10.0389,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 07:00,6.6179,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 07:00,10.777,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 07:00,10.2553,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 07:00,9.3332,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 07:00,10.8593,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 07:00,10.2061,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 06:00,9.5243,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 06:00,10.8233,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 06:00,10.1313,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 06:00,13.6181,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 06:00,10.9218,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 06:00,10.0111,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 05:00,12.7878,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 05:00,10.9077,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 05:00,10.0634,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 05:00,22.6495,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 05:00,11.03,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 05:00,9.6549,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 04:00,9.0935,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 04:00,10.9227,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 04:00,10.327,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 04:00,27.7047,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 04:00,10.9736,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 04:00,9.4479,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 03:00,8.4295,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 03:00,11.1504,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 03:00,10.4905,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 03:00,30.0307,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 03:00,10.809,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 03:00,9.2606,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 02:00,7.1899,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 02:00,11.1739,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 02:00,10.6389,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 02:00,30.9598,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 02:00,10.7061,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 02:00,9.2666,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 01:00,9.6216,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 01:00,11.3787,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 01:00,10.5013,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 01:00,31.4001,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 01:00,10.644,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 01:00,9.3181,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-10 00:00,9.0136,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-10 00:00,11.1246,0
"Surface DO","FS-Surface","DO-sensor",2024-04-10 00:00,10.6011,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-10 00:00,31.1895,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-10 00:00,10.6461,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-10 00:00,9.3562,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-09 23:00,10.7513,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-09 23:00,11.6897,0
"Surface DO","FS-Surface","DO-sensor",2024-04-09 23:00,10.4575,0
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-04-09 23:00,31.0895,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-04-09 23:00,10.6601,0
"Bottom DO","FS-Bottom","DO-sensor",2024-04-09 23:00,9.3784,0
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-09 22:00,10.4148,0
