Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-03-01 19:00,1.8783,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 19:00,11.1337,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 19:00,10.9773,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 19:00,9.8987,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 18:00,1.5482,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 18:00,13.8367,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 18:00,11.0644,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 18:00,9.7611,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 17:00,1.6471,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 17:00,13.7364,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 17:00,11.04,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 17:00,9.8556,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 16:00,2.1464,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 16:00,12.1638,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 16:00,10.998,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 16:00,9.959,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 15:00,2.3768,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 15:00,20.226,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 15:00,11.1342,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 15:00,9.5168,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 14:00,3.0612,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 14:00,19.4594,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 14:00,11.1361,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 14:00,9.6118,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 13:00,3.5533,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 13:00,19.1181,0
