Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-08-01 21:00,3.7456,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 21:00,32.7189,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 21:00,11.9389,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 21:00,8.0348,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 20:00,3.5897,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 20:00,32.6795,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 20:00,12.0501,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 20:00,8.7035,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 19:00,3.3446,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 19:00,32.5952,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 19:00,11.9313,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 19:00,5.9911,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 18:00,3.0721,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 18:00,19.4563,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 18:00,11.778,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 18:00,0.5994,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 17:00,2.8737,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 17:00,32.474,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 17:00,11.8439,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 17:00,2.0723,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 16:00,2.7431,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 16:00,29.4286,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 16:00,11.9244,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 16:00,1.4802,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 15:00,2.7553,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 15:00,17.9645,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 15:00,12.2037,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 15:00,1.2429,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 14:00,2.8394,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 14:00,32.1585,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 14:00,12.2321,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 14:00,8.728,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 13:00,3.0035,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 13:00,32.5599,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 13:00,11.5087,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 13:00,6.8715,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 12:00,3.1071,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 12:00,32.5107,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 12:00,11.4323,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 12:00,6.9354,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 11:00,3.1499,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 11:00,32.6154,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 11:00,11.2808,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 11:00,6.6963,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 10:00,3.0714,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 10:00,32.5983,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 10:00,11.2618,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 10:00,6.5866,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 09:00,2.8353,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 09:00,32.5538,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 09:00,11.3639,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 09:00,6.6947,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 08:00,2.4938,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 08:00,32.2376,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 08:00,11.7487,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 08:00,7.075,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 07:00,2.1215,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 07:00,32.0453,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 07:00,12.0128,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 07:00,7.5728,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 06:00,1.8199,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-08-01 06:00,31.854,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-08-01 06:00,12.3157,0
"Bottom DO","FS-Bottom","DO-sensor",2024-08-01 06:00,8.3818,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 05:00,1.5917,-6.46
