Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-02-10 20:00,2.3666,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 20:00,24.1864,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 20:00,10.7378,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 20:00,8.8366,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 19:00,1.9733,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 19:00,11.573,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 19:00,9.9061,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 19:00,9.618,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 18:00,1.5854,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 18:00,1.4927,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 18:00,9.2936,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 18:00,10.7172,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 17:00,1.3725,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 17:00,1.1184,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 17:00,9.3504,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 17:00,10.7545,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 16:00,1.3135,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 16:00,1.5455,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 16:00,9.4793,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 16:00,10.6888,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 15:00,1.4966,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 15:00,2.4765,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 15:00,9.5262,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 15:00,10.6338,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 14:00,1.8559,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 14:00,4.9359,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 14:00,9.6562,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 14:00,10.4178,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 13:00,2.3519,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 13:00,8.7365,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 13:00,9.7633,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 13:00,10.0272,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 12:00,2.81,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 12:00,25.9795,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 12:00,10.8725,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 12:00,8.5183,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 11:00,3.2735,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 11:00,31.3953,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 11:00,11.3148,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 11:00,8.1558,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 10:00,3.589,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 10:00,31.8016,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 10:00,11.322,0
