Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-11-18 20:00,1.1669,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 20:00,27.5528,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 20:00,10.6209,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 20:00,7.6368,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 19:00,1.2267,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 19:00,27.1052,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 19:00,10.5871,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 19:00,7.564,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 18:00,1.352,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 18:00,27.3324,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 18:00,10.6414,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 18:00,7.7416,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 17:00,1.769,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 17:00,29.0355,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 17:00,10.7991,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 17:00,7.9487,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 16:00,2.217,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 16:00,30.7183,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 16:00,10.9423,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 16:00,8.2304,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 15:00,2.7912,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 15:00,31.7786,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 15:00,11.0285,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 15:00,8.4492,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 14:00,3.1737,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 14:00,32.0535,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 14:00,11.0269,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 14:00,8.5766,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 13:00,3.628,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 13:00,32.6888,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 13:00,10.9515,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 13:00,8.6272,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 12:00,3.7966,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 12:00,32.9335,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 12:00,10.8892,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 12:00,8.7299,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 11:00,3.587,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 11:00,32.9386,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 11:00,10.8146,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 11:00,8.6686,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 10:00,3.5417,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 10:00,33.0569,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 10:00,10.6584,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 10:00,8.6316,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 09:00,3.1553,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 09:00,32.7831,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 09:00,10.6948,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 09:00,8.4039,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 08:00,2.9456,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 08:00,31.5072,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 08:00,10.9692,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 08:00,8.1491,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 07:00,2.6456,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 07:00,31.0933,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 07:00,10.9416,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 07:00,8.1742,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 06:00,2.6339,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 06:00,32.1932,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 06:00,11.015,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 06:00,8.1444,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 05:00,2.7116,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 05:00,32.1561,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 05:00,11.0017,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 05:00,8.1185,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 04:00,2.8486,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 04:00,32.2575,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 04:00,11.0824,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 04:00,8.232,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 03:00,2.9886,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 03:00,32.816,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 03:00,11.269,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 03:00,8.4398,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 02:00,3.229,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 02:00,33.0568,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 02:00,11.3427,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 02:00,8.533,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 01:00,3.2396,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 01:00,33.0488,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 01:00,11.3129,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 01:00,8.4861,0
"Depth","FS-Bottom","Depth-sensor",2024-11-18 00:00,3.0733,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-18 00:00,32.875,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-18 00:00,11.1719,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-18 00:00,8.5655,0
"Depth","FS-Bottom","Depth-sensor",2024-11-17 23:00,2.7284,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-17 23:00,31.9755,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-17 23:00,10.9775,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-17 23:00,8.4186,0
"Depth","FS-Bottom","Depth-sensor",2024-11-17 22:00,2.2698,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-17 22:00,31.9459,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-17 22:00,11.0543,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-17 22:00,8.3698,0
"Depth","FS-Bottom","Depth-sensor",2024-11-17 21:00,1.7621,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-17 21:00,31.6105,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-11-17 21:00,11.0638,0
"Bottom DO","FS-Bottom","DO-sensor",2024-11-17 21:00,7.652,0
"Depth","FS-Bottom","Depth-sensor",2024-11-17 20:00,1.3676,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-11-17 20:00,29.2049,0
