Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-10-18 21:00,1.8296,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 21:00,32.6021,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 21:00,12.0554,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 21:00,7.2126,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 20:00,1.4332,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 20:00,32.6977,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 20:00,12.1553,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 20:00,7.2206,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 19:00,1.2486,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 19:00,31.569,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 19:00,12.3122,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 19:00,7.2732,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 18:00,1.3076,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 18:00,30.2751,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 18:00,12.5761,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 18:00,7.7964,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 17:00,1.6451,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 17:00,32.0059,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 17:00,12.326,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 17:00,8.1382,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 16:00,2.1859,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 16:00,32.9552,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 16:00,11.9216,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 16:00,8.4906,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 15:00,2.7873,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 15:00,33.4936,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-10-18 15:00,11.5063,0
"Bottom DO","FS-Bottom","DO-sensor",2024-10-18 15:00,8.687,0
"Depth","FS-Bottom","Depth-sensor",2024-10-18 14:00,3.325,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-10-18 14:00,33.6259,0
