Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-09-23 20:00,2.4522,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 20:00,32.4582,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 20:00,14.6765,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 20:00,8.3591,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 19:00,2.8535,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 19:00,33.1514,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 19:00,14.4879,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 19:00,8.5133,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 18:00,3.2563,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 18:00,33.4836,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 18:00,14.2622,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 18:00,8.7551,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 17:00,3.5413,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 17:00,33.642,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 17:00,13.99,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 17:00,8.4819,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 16:00,3.6891,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 16:00,33.6742,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 16:00,13.9616,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 16:00,8.3622,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 15:00,3.7407,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 15:00,33.6352,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 15:00,13.9203,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 15:00,8.5683,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 14:00,3.594,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 14:00,33.6454,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2024-09-23 14:00,13.907,0
"Bottom DO","FS-Bottom","DO-sensor",2024-09-23 14:00,8.118,0
"Depth","FS-Bottom","Depth-sensor",2024-09-23 13:00,3.3695,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2024-09-23 13:00,33.4994,0
