Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-08-01 21:00,3.7456,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 21:00,29.4802,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 21:00,15.5624,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 21:00,11.226,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 21:00,2.2662,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 21:00,8.1726,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 20:00,3.5897,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 20:00,30.2072,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 20:00,15.3851,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 20:00,10.5388,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 20:00,1.5428,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 20:00,8.124,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 19:00,3.3446,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 19:00,29.6793,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 19:00,15.6129,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 19:00,10.4695,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 19:00,1.3539,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 19:00,8.1049,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 18:00,3.0721,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 18:00,29.9559,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 18:00,16.0178,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 18:00,10.3502,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 18:00,2.7467,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 18:00,8.081,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 17:00,2.8737,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 17:00,30.1679,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 17:00,15.7318,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 17:00,10.4256,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 17:00,2.3415,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 17:00,8.0797,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 16:00,2.7431,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 16:00,29.9132,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 16:00,15.9711,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 16:00,10.2342,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 16:00,0.7814,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 16:00,8.0583,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 15:00,2.7553,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 15:00,30.747,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 15:00,15.0042,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 15:00,10.2535,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 15:00,1.5222,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 15:00,8.0931,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 14:00,2.8394,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 14:00,30.8035,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 14:00,15.0284,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 14:00,10.5181,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 14:00,2,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 14:00,8.1201,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 13:00,3.0035,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 13:00,29.9364,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 13:00,15.3153,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 13:00,11.8015,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 13:00,2.1209,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 13:00,8.2051,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 12:00,3.1071,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 12:00,29.9524,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 12:00,14.2761,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 12:00,11.24,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 12:00,1.9948,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 12:00,8.1643,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 11:00,3.1499,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 11:00,29.8953,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 11:00,13.9366,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 11:00,9.6876,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 11:00,0.4094,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 11:00,8.0274,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 10:00,3.0714,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 10:00,29.8066,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 10:00,13.3699,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 10:00,9.0964,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 10:00,0.0731,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 10:00,7.9594,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 09:00,2.8353,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 09:00,28.7874,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 09:00,13.6876,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 09:00,9.101,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 09:00,0.6853,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 09:00,7.9714,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 08:00,2.4938,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 08:00,27.8418,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 08:00,14.036,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 08:00,9.5094,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 08:00,0.6685,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 08:00,7.9855,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 07:00,2.1215,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 07:00,26.6933,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 07:00,14.4707,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 07:00,9.682,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 07:00,0.6931,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 07:00,7.9881,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 06:00,1.8199,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 06:00,24.777,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 06:00,14.9211,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 06:00,9.6037,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 06:00,2.1944,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 06:00,7.9502,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 05:00,1.5917,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 05:00,24.5826,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-08-01 05:00,15.1052,0
"Surface DO","FS-Surface","DO-sensor",2024-08-01 05:00,9.6074,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-08-01 05:00,1.4587,0
"Surface pH","FS-Surface","pH-sensor",2024-08-01 05:00,7.9496,0
"Depth","FS-Bottom","Depth-sensor",2024-08-01 04:00,1.5233,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-08-01 04:00,26.1463,0
