Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-12-05 20:00,1.5096,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 20:00,19.3912,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 20:00,10.9984,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 20:00,8.7904,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 20:00,0.0129,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 20:00,8.1474,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 19:00,1.6364,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 19:00,21.6171,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 19:00,11.3119,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 19:00,8.6034,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 19:00,0.011,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 19:00,8.1605,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 18:00,1.9689,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 18:00,21.2022,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 18:00,11.3017,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 18:00,8.7311,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 18:00,0.0125,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 18:00,8.1678,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 17:00,2.3654,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 17:00,29.4555,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 17:00,12.2042,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 17:00,8.2766,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 17:00,0.0192,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 17:00,8.2302,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 16:00,2.8019,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 16:00,30.3323,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 16:00,12.3368,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 16:00,8.3236,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 16:00,0.0181,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 16:00,8.2463,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 15:00,3.1803,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 15:00,30.8122,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 15:00,12.3546,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 15:00,8.41,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 15:00,0.0172,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 15:00,8.2621,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 14:00,3.4507,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 14:00,30.8689,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 14:00,12.2391,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 14:00,8.6208,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 14:00,0.0162,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 14:00,8.2756,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 13:00,3.5546,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 13:00,30.77,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 13:00,12.2233,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 13:00,8.7468,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 13:00,0.0186,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 13:00,8.2794,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 12:00,3.5325,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 12:00,30.1394,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 12:00,12.1524,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 12:00,8.7157,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 12:00,0.0194,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 12:00,8.279,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 11:00,3.3906,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 11:00,31.3818,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 11:00,12.2501,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 11:00,8.4696,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 11:00,0.0198,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 11:00,8.2657,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 10:00,3.1363,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 10:00,31.016,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 10:00,12.3598,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 10:00,8.2483,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 10:00,0.0177,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 10:00,8.2592,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 09:00,2.9561,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 09:00,30.6411,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 09:00,12.3348,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 09:00,8.4603,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 09:00,0.0162,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 09:00,8.2642,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 08:00,2.8286,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 08:00,30.2523,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 08:00,12.2228,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 08:00,8.4155,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 08:00,0.018,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 08:00,8.2507,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 07:00,2.8115,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 07:00,30.6125,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 07:00,12.2847,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 07:00,8.4653,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 07:00,0.017,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 07:00,8.2665,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 06:00,2.8852,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 06:00,30.7386,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 06:00,12.3129,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 06:00,8.5165,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 06:00,0.0158,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 06:00,8.2744,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 05:00,2.9817,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 05:00,30.8125,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 05:00,12.3289,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 05:00,8.6677,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 05:00,0.0172,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 05:00,8.2904,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 04:00,3.0968,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 04:00,30.77,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 04:00,12.316,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 04:00,8.7132,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 04:00,0.0204,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 04:00,8.2893,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 03:00,3.1393,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 03:00,30.4619,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 03:00,12.2716,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 03:00,8.8359,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 03:00,0.0188,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 03:00,8.3022,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 02:00,3.139,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 02:00,30.6314,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 02:00,12.3003,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 02:00,8.8754,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 02:00,0.0176,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 02:00,8.2991,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 01:00,2.9707,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 01:00,30.7214,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 01:00,12.3036,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 01:00,8.9306,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 01:00,0.019,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 01:00,8.2996,0
"Depth","FS-Bottom","Depth-sensor",2024-12-05 00:00,2.6919,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-05 00:00,30.494,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-05 00:00,12.2583,0
"Surface DO","FS-Surface","DO-sensor",2024-12-05 00:00,8.8769,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-05 00:00,0.0149,0
"Surface pH","FS-Surface","pH-sensor",2024-12-05 00:00,8.2979,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 23:00,2.4164,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 23:00,29.7402,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 23:00,12.1196,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 23:00,8.7821,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 23:00,0.0192,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 23:00,8.2763,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 22:00,1.955,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 22:00,29.6094,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 22:00,12.095,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 22:00,7.9733,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 22:00,0.0153,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 22:00,8.1801,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 21:00,1.6433,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 21:00,25.3895,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 21:00,11.5722,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 21:00,8.4567,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 21:00,0.019,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 21:00,8.1509,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 20:00,1.4829,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 20:00,18.734,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 20:00,10.7288,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 20:00,8.9067,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 20:00,0.0144,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 20:00,8.1193,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 19:00,1.4992,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 19:00,16.3286,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 19:00,10.8359,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 19:00,9.1755,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 19:00,0.016,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 19:00,8.0791,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 18:00,1.6781,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 18:00,19.1763,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 18:00,10.9021,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 18:00,8.921,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 18:00,0.0149,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 18:00,8.1272,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 17:00,2.0636,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 17:00,25.887,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 17:00,11.6129,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 17:00,8.5144,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 17:00,0.0123,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 17:00,8.1785,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 16:00,2.5012,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 16:00,29.9785,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 16:00,12.1949,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 16:00,8.3772,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 16:00,0.0149,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 16:00,8.2369,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 15:00,2.9289,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 15:00,30.7798,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 15:00,12.3527,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 15:00,8.4459,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 15:00,0.0155,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 15:00,8.2648,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 14:00,3.3525,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 14:00,30.891,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 14:00,12.3505,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 14:00,8.4683,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 14:00,0.0169,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 14:00,8.2686,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 13:00,3.5961,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 13:00,31.2687,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 13:00,12.4197,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 13:00,8.5932,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 13:00,0.0132,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 13:00,8.2883,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 12:00,3.7371,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 12:00,31.2711,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 12:00,12.4047,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 12:00,8.759,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 12:00,0.0153,0
"Surface pH","FS-Surface","pH-sensor",2024-12-04 12:00,8.3003,0
"Depth","FS-Bottom","Depth-sensor",2024-12-04 11:00,3.5452,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-12-04 11:00,31.3312,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-12-04 11:00,12.3904,0
"Surface DO","FS-Surface","DO-sensor",2024-12-04 11:00,8.7107,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-12-04 11:00,0.0158,0
