Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-02-10 20:00,2.3666,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 20:00,1.577,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 20:00,9.2504,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 20:00,11.2136,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 20:00,0.0328,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 20:00,7.7298,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 19:00,1.9733,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 19:00,0.7965,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 19:00,9.0839,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 19:00,11.2931,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 19:00,0.0307,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 19:00,7.7522,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 18:00,1.5854,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 18:00,0.8642,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 18:00,9.159,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 18:00,11.2639,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 18:00,0.0317,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 18:00,7.7753,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 17:00,1.3725,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 17:00,1.6387,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 17:00,9.3716,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 17:00,11.1911,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 17:00,0.0355,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 17:00,7.7263,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 16:00,1.3135,-6.46
