Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-10-16 21:00,2.9605,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 21:00,31.0645,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 21:00,13.2155,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 21:00,8.7896,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 21:00,1.1408,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 21:00,8.1457,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 20:00,2.4984,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 20:00,30.7384,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 20:00,13.569,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 20:00,8.6989,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 20:00,1.3586,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 20:00,8.1137,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 19:00,2.1093,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 19:00,29.885,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 19:00,13.8139,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 19:00,8.5755,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 19:00,1.0131,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 19:00,8.0742,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 18:00,1.7862,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 18:00,28.8979,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 18:00,14.2295,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 18:00,8.7703,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 18:00,0.9357,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 18:00,8.0683,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 17:00,1.662,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 17:00,29.1681,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 17:00,14.219,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 17:00,8.7936,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 17:00,26.9978,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 17:00,8.0737,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 16:00,1.8169,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 16:00,30.375,0
