Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2024-09-25 21:00,2.9191,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 21:00,31.6143,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 21:00,14.1282,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 21:00,8.6236,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 21:00,0.0404,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 21:00,8.1131,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 20:00,3.2048,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 20:00,31.7417,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 20:00,14.2024,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 20:00,8.8624,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 20:00,0.1859,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 20:00,8.1481,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 19:00,3.4534,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 19:00,31.9823,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 19:00,13.5806,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 19:00,8.7847,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 19:00,0.0334,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 19:00,8.1151,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 18:00,3.4565,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 18:00,31.7338,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 18:00,14.0405,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 18:00,8.8106,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 18:00,0.0532,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 18:00,8.118,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 17:00,3.492,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 17:00,31.6163,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 17:00,14.1299,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 17:00,0.0316,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 17:00,8.1144,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 16:00,3.3293,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 16:00,31.6921,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 16:00,14.0598,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 16:00,8.5228,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 16:00,0.0283,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 16:00,8.0963,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 14:00,3.0036,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 14:00,30.8654,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 14:00,14.5904,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 14:00,8.1298,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 14:00,1.2415,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 14:00,8.1029,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 13:00,2.9093,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 13:00,30.6822,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 13:00,14.4589,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 13:00,8.0293,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 13:00,1.2002,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 13:00,8.0823,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 12:00,2.8763,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 12:00,30.4736,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 12:00,14.505,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 12:00,8.1509,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 12:00,1.2386,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 12:00,8.102,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 11:00,2.8928,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 11:00,30.1951,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 11:00,14.6405,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 11:00,8.1738,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 11:00,1.1653,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 11:00,8.1054,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 10:00,3.0398,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 10:00,30.4714,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 10:00,14.346,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 10:00,8.158,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 10:00,1.1304,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 10:00,8.1087,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 09:00,3.123,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 09:00,30.1156,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 09:00,14.4565,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 09:00,8.3188,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 09:00,1.4519,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 09:00,8.1232,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 08:00,3.1635,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 08:00,30.096,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 08:00,14.4045,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 08:00,8.2111,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 08:00,1.2057,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 08:00,8.1104,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 07:00,3.1751,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 07:00,29.992,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 07:00,14.3682,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 07:00,7.9914,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 07:00,1.1016,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 07:00,8.0882,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 06:00,3.0484,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 06:00,29.4542,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 06:00,14.5792,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 06:00,8.1044,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 06:00,1.2979,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 06:00,8.0877,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 05:00,2.8105,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 05:00,29.3763,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 05:00,14.698,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 05:00,8.021,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 05:00,1.2683,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 05:00,8.0781,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 04:00,2.5356,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 04:00,29.1914,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 04:00,14.7402,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 04:00,8.1263,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 04:00,1.2682,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 04:00,8.0793,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 03:00,2.2849,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 03:00,28.6396,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 03:00,14.7672,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 03:00,8.1784,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 03:00,1.3757,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 03:00,8.08,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 02:00,2.0459,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 02:00,27.8347,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 02:00,14.7816,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 02:00,8.1493,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 02:00,1.2664,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 02:00,8.0521,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 01:00,1.8944,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 01:00,27.4482,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 01:00,14.739,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 01:00,8.197,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 01:00,1.1056,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 01:00,8.034,0
"Depth","FS-Bottom","Depth-sensor",2024-09-25 00:00,1.8325,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-25 00:00,27.833,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-25 00:00,14.8861,0
"Surface DO","FS-Surface","DO-sensor",2024-09-25 00:00,8.3973,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-25 00:00,1.3453,0
"Surface pH","FS-Surface","pH-sensor",2024-09-25 00:00,8.0664,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 23:00,1.955,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 23:00,27.8967,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-24 23:00,14.9634,0
"Surface DO","FS-Surface","DO-sensor",2024-09-24 23:00,8.5708,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-24 23:00,1.1325,0
"Surface pH","FS-Surface","pH-sensor",2024-09-24 23:00,8.094,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 22:00,2.2046,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 22:00,28.7931,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-24 22:00,15.2037,0
"Surface DO","FS-Surface","DO-sensor",2024-09-24 22:00,8.7472,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-24 22:00,1.0996,0
"Surface pH","FS-Surface","pH-sensor",2024-09-24 22:00,8.1137,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 21:00,2.5379,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 21:00,29.7875,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-24 21:00,15.5898,0
"Surface DO","FS-Surface","DO-sensor",2024-09-24 21:00,8.6157,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-24 21:00,1.1629,0
"Surface pH","FS-Surface","pH-sensor",2024-09-24 21:00,8.1253,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 20:00,2.9113,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 20:00,30.5119,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-24 20:00,15.7109,0
"Surface DO","FS-Surface","DO-sensor",2024-09-24 20:00,8.6304,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-24 20:00,1.3684,0
"Surface pH","FS-Surface","pH-sensor",2024-09-24 20:00,8.1382,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 19:00,3.2535,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 19:00,31.1857,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-09-24 19:00,15.6297,0
"Surface DO","FS-Surface","DO-sensor",2024-09-24 19:00,8.92,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-09-24 19:00,1.3108,0
"Surface pH","FS-Surface","pH-sensor",2024-09-24 19:00,8.1808,0
"Depth","FS-Bottom","Depth-sensor",2024-09-24 18:00,3.5383,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-09-24 18:00,30.9789,0
