Series Name,Location,Parameter,Timestamp,Value,Offset
"Baro","VuLink-1","Baro-sensor",2025-03-20 20:00,14.9123,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 20:00,76.3903,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 19:00,14.9112,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 19:00,76.4339,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 18:00,14.9164,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 18:00,76.4782,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 17:00,14.9228,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 17:00,76.5246,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 16:00,14.9267,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 16:00,76.5682,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 15:00,14.9323,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 15:00,76.6111,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 14:00,14.9388,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 14:00,76.6425,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 13:00,14.9458,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 13:00,76.699,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 12:00,14.9419,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 12:00,76.7433,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 11:00,14.9425,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 11:00,76.7861,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 10:00,14.9423,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 10:00,76.8176,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 09:00,14.9363,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 09:00,76.8726,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 08:00,14.927,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 08:00,76.9183,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 07:00,14.9261,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 07:00,76.9512,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 06:00,14.9192,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 06:00,76.9955,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 05:00,14.923,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 05:00,77.0526,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 04:00,14.9288,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 04:00,77.0962,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 03:00,14.9269,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 03:00,77.1376,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 02:00,14.9219,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 02:00,77.1812,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 01:00,14.9249,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 01:00,77.2234,0
"Baro","VuLink-1","Baro-sensor",2025-03-20 00:00,14.9184,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-20 00:00,77.2719,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 23:00,14.908,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 23:00,77.3141,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 22:00,14.8995,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 22:00,77.3448,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 21:00,14.9043,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 21:00,77.4013,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 20:00,14.8915,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 20:00,77.4484,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 19:00,14.8845,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 19:00,77.4791,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 18:00,14.869,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 18:00,77.5227,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 17:00,14.8597,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 17:00,77.5777,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 16:00,14.8658,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 16:00,77.6149,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 15:00,14.8715,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 15:00,77.6556,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 14:00,14.8902,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 14:00,77.6985,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 13:00,14.9003,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 13:00,77.7442,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 12:00,14.9117,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 12:00,77.7871,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 11:00,14.9256,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 11:00,77.8321,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 10:00,14.9252,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 10:00,77.8657,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 09:00,14.9325,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 09:00,77.9221,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 08:00,14.9291,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 08:00,77.9657,0
"Baro","VuLink-1","Baro-sensor",2025-03-19 07:00,14.9219,0
"Battery Level","VuLink-1","Battery Level-sensor",2025-03-19 07:00,77.9971,0
