Series Name,Location,Parameter,Timestamp,Value,Offset
"Baro","VuLink-1","Baro-sensor",2024-11-26 20:00,14.8717,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 20:00,15.1702,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 19:00,14.8664,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 19:00,15.1812,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 18:00,14.8623,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 18:00,15.1933,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 17:00,14.8556,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 17:00,15.202,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 16:00,14.8542,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 16:00,15.2178,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 15:00,14.8528,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 15:00,15.2304,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 14:00,14.8545,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 14:00,15.2386,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 13:00,14.8543,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 13:00,15.2509,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 12:00,14.8558,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 12:00,15.2657,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 11:00,14.8567,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 11:00,15.2765,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 10:00,14.8527,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 10:00,15.288,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 09:00,14.843,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 09:00,15.3017,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 08:00,14.8351,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 08:00,15.3183,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 07:00,14.8265,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 07:00,15.3312,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 06:00,14.8166,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 06:00,15.3427,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 05:00,14.8134,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 05:00,15.3512,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 04:00,14.8068,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 04:00,15.3683,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 03:00,14.8061,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 03:00,15.3806,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 02:00,14.8035,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 02:00,15.389,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 01:00,14.8003,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 01:00,15.4014,0
"Baro","VuLink-1","Baro-sensor",2024-11-26 00:00,14.8009,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-26 00:00,15.4235,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 23:00,14.7979,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 23:00,15.4335,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 22:00,14.7925,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 22:00,15.4438,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 21:00,14.787,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 21:00,15.4559,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 20:00,14.7805,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 20:00,15.4693,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 19:00,14.775,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 19:00,15.4806,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 18:00,14.7733,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 18:00,15.4924,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 17:00,14.7688,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-11-25 17:00,15.5016,0
"Baro","VuLink-1","Baro-sensor",2024-11-25 16:00,14.7678,0
