Series Name,Location,Parameter,Timestamp,Value,Offset
"Baro","VuLink-1","Baro-sensor",2024-10-01 21:00,14.7463,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 21:00,34.6073,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 20:00,14.7481,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 20:00,34.6191,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 19:00,14.75,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 19:00,34.6312,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 18:00,14.7515,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 18:00,34.642,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 17:00,14.761,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 17:00,34.6649,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 16:00,14.7687,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 16:00,34.6783,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 15:00,14.7735,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 15:00,34.6901,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 14:00,14.7772,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 14:00,34.7041,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 13:00,14.7806,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 13:00,34.7354,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 12:00,14.7753,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 12:00,34.7462,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 11:00,14.7744,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 11:00,34.7564,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 10:00,14.7672,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 10:00,34.7685,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 09:00,14.7637,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 09:00,34.7872,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 08:00,14.758,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 08:00,34.8006,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 07:00,14.7528,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 07:00,34.8127,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 06:00,14.75,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 06:00,34.8227,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 05:00,14.7495,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 05:00,34.8451,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 04:00,14.7457,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 04:00,34.8585,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 03:00,14.7455,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 03:00,34.8695,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 02:00,14.7448,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 02:00,34.8803,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 01:00,14.7432,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 01:00,34.9127,0
"Baro","VuLink-1","Baro-sensor",2024-10-01 00:00,14.7449,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-10-01 00:00,34.9242,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 23:00,14.7435,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 23:00,34.9356,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 22:00,14.7407,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 22:00,34.9479,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 21:00,14.7372,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 21:00,34.9737,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 20:00,14.7361,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 20:00,34.985,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 19:00,14.7315,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 19:00,34.9966,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 18:00,14.7308,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 18:00,35.0071,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 17:00,14.7343,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 17:00,35.0297,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 16:00,14.7435,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 16:00,35.0426,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 15:00,14.7443,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 15:00,35.0555,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 14:00,14.75,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 14:00,35.0668,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 13:00,14.7555,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 13:00,35.0858,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 12:00,14.7515,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 12:00,35.0947,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 11:00,14.7496,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 11:00,35.1078,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 10:00,14.7451,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 10:00,35.1194,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 09:00,14.7397,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 09:00,35.1484,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 08:00,14.7389,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 08:00,35.1597,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 07:00,14.7373,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 07:00,35.172,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 06:00,14.7338,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 06:00,35.1802,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 05:00,14.7324,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 05:00,35.2107,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 04:00,14.7364,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 04:00,35.2215,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 03:00,14.7391,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 03:00,35.2344,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 02:00,14.7449,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 02:00,35.2433,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 01:00,14.7495,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 01:00,35.2759,0
"Baro","VuLink-1","Baro-sensor",2024-09-30 00:00,14.7507,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-30 00:00,35.2883,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 23:00,14.7523,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 23:00,35.2996,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 22:00,14.7586,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 22:00,35.3122,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 21:00,14.7527,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 21:00,35.328,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 20:00,14.7484,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 20:00,35.3383,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 19:00,14.744,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 19:00,35.3491,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 18:00,14.7474,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 18:00,35.3619,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 17:00,14.7532,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 17:00,35.383,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 16:00,14.7641,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 16:00,35.3961,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 15:00,14.7734,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 15:00,35.4159,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 14:00,14.7791,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 14:00,35.4256,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 13:00,14.7845,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 13:00,35.4451,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 12:00,14.786,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 12:00,35.4582,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 11:00,14.7896,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 11:00,35.4682,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 10:00,14.7871,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 10:00,35.4795,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 09:00,14.7759,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 09:00,35.4979,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 08:00,14.7688,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 08:00,35.5116,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 07:00,14.7636,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 07:00,35.5222,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 06:00,14.7564,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 06:00,35.5343,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 05:00,14.7515,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 05:00,35.5632,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 04:00,14.7465,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 04:00,35.5742,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 03:00,14.7486,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 03:00,35.5858,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 02:00,14.7407,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 02:00,35.5976,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 01:00,14.74,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 01:00,35.6242,0
"Baro","VuLink-1","Baro-sensor",2024-09-29 00:00,14.7365,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-29 00:00,35.6361,0
"Baro","VuLink-1","Baro-sensor",2024-09-28 23:00,14.7378,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-28 23:00,35.6484,0
"Baro","VuLink-1","Baro-sensor",2024-09-28 22:00,14.733,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-28 22:00,35.6587,0
"Baro","VuLink-1","Baro-sensor",2024-09-28 21:00,14.7207,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-28 21:00,35.6731,0
"Baro","VuLink-1","Baro-sensor",2024-09-28 20:00,14.711,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-28 20:00,35.686,0
"Baro","VuLink-1","Baro-sensor",2024-09-28 19:00,14.7142,0
"Battery Level","VuLink-1","Battery Level-sensor",2024-09-28 19:00,35.696,0
